landmark_id,Frequency
27,504
1924,944
9070,900
10419,776
14915,754
20120,888
20409,1758
25093,663
27190,520
31531,505
36748,839
38482,704
40088,679
41648,742
41808,570
45428,757
46705,888
47378,731
51856,576
64792,531
76303,604
80177,527
83144,1741
85633,502
101399,538
107164,542
109169,597
113209,1135
113838,503
120734,820
126637,2231
138982,6272
139894,966
143710,508
149980,971
152708,514
161902,861
162833,662
165596,734
168098,888
173511,656
176018,820
176528,920
177870,1088
187779,730
189811,540
189907,621
190822,614
191292,600
192931,572
194914,1073
